# PZ Skill: Sample Resonance Data (Ω = lim e^x) (Scientific Notation)
# UPDATED: Symmetric Quadratic Drain Term (gamma^|n^2-m^2|)

 m            n           LaRue            k                Div          Normalized_Div Resonance     λ_P(k)       λ_P(m*n)   
   1           2                   39.6964           7.0000 -1.2220      -0.5075        0.0006       1            1           
   1           3                  296.1927         136.0000  0.6190       0.2575        0.4766       2            1           
   1           7             48309524.8379   114217651.0000     ---       0.0000        0.0000       0            1           
   1           9          19489598222.8102 64690249741.0000     ---       0.0000        0.0000       0            1           
   1          10                  7.86e+12         3.36e+13     ---       0.0000        0.0000       0            2           
   1          15                  5.16e+20         3.69e+21     ---       0.0000        0.0000       0            2           
   1          20                  1.37e+31         1.50e+32     ---       0.0000        0.0000       0            2           
   1          21                  1.01e+32         1.14e+33     ---       0.0000        0.0000       0            2           
   1          22                  4.08e+34         4.99e+35     ---       0.0000        0.0000       0            2           
   1          23                  2.23e+36         2.86e+37     ---       0.0000        0.0000       0            1           
   1          25                  2.68e+42         4.04e+43     ---       0.0000        0.0000       0            1           
   1          26                  1.46e+44         2.30e+45     ---       0.0000        0.0000       0            2           
   1          33                  6.30e+59         1.35e+61     ---       0.0000        0.0000       0            2           
   1          34                  4.66e+60         1.01e+62     ---       0.0000        0.0000       0            2           
   1          35                  1.03e+65         2.40e+66     ---       0.0000        0.0000       0            2           
   1          37                  3.06e+68         7.53e+69     ---       0.0000        0.0000       0            1           
   1          39                  6.73e+72         1.77e+74     ---       0.0000        0.0000       0            2           
   1          40                  2.72e+75         7.39e+76     ---       0.0000        0.0000       0            2           
   1          41                  1.10e+78         3.08e+79     ---       0.0000        0.0000       0            1           
   1          43                  1.78e+83         5.36e+84     ---       0.0000        0.0000       0            1           
   1          45                  7.20e+85         2.23e+87     ---       0.0000        0.0000       0            2           
   1          49                  7.69e+98        2.75e+100     ---       0.0000        0.0000       0            1           
   1          53                 9.25e+104        3.52e+106     ---       0.0000        0.0000       0            1           
   1          55                 8.22e+111        3.33e+113     ---       0.0000        0.0000       0            2           
   1          56                 3.31e+114        1.38e+116     ---       0.0000        0.0000       0            2           
   1          57                 1.34e+117        5.68e+118     ---       0.0000        0.0000       0            2           
   1          59                 3.99e+120        1.74e+122     ---       0.0000        0.0000       0            1           
   1          60                 2.18e+122        9.66e+123     ---       0.0000        0.0000       0            3           
   1          62                 3.54e+127        1.64e+129     ---       0.0000        0.0000       0            2           
   1          65                 1.72e+136        8.50e+137     ---       0.0000        0.0000       0            2           
   1          66                 9.38e+137        4.70e+139     ---       0.0000        0.0000       0            3           
   1          67                 1.13e+144        5.91e+145     ---       0.0000        0.0000       0            1           
   1          68                 4.55e+146        2.43e+148     ---       0.0000        0.0000       0            2           
   1          70                 7.41e+151        4.09e+153     ---       0.0000        0.0000       0            3           
   1          72                 1.63e+156        9.27e+157     ---       0.0000        0.0000       0            2           
   1          73                 4.87e+159        2.83e+161     ---       0.0000        0.0000       0            1           
   1          74                 1.96e+162        1.16e+164     ---       0.0000        0.0000       0            2           
   1          75                 7.92e+164        4.75e+166     ---       0.0000        0.0000       0            2           
   1          76                 4.32e+166        2.62e+168     ---       0.0000        0.0000       0            2           
   1          77                 1.74e+169        1.07e+171     ---       0.0000        0.0000       0            2           
   1          79                 2.84e+174        1.80e+176     ---       0.0000        0.0000       0            1           
   1          80                 8.46e+177        5.48e+179     ---       0.0000        0.0000       0            2           
   1          82                 1.38e+183        9.18e+184     ---       0.0000        0.0000       0            2           
   1          83                 3.03e+187        2.07e+189     ---       0.0000        0.0000       0            1           
   1          84                 2.24e+188        1.54e+190     ---       0.0000        0.0000       0            3           
   1          85                 9.04e+190        6.29e+192     ---       0.0000        0.0000       0            2           
   1          87                 1.99e+195        1.42e+197     ---       0.0000        0.0000       0            2           
   1          89                 3.24e+200        2.37e+202     ---       0.0000        0.0000       0            1           
   1          91                 1.31e+203        9.68e+204     ---       0.0000        0.0000       0            2           
   1          96                 5.64e+218        4.49e+220     ---       0.0000        0.0000       0            2           
   1          98                 3.70e+226        3.06e+228     ---       0.0000        0.0000       0            2           
   1          99                 2.74e+227        2.27e+229     ---       0.0000        0.0000       0            2           
   1         100                 1.80e+235        1.54e+237     ---       0.0000        0.0000       0            2           
   1         104                 2.60e+247        2.34e+249     ---       0.0000        0.0000       0            2           
   1         107                 1.71e+255        1.59e+257     ---       0.0000        0.0000       0            1           
   1         109                 2.78e+260        2.64e+262     ---       0.0000        0.0000       0            1           
   1         110                 2.05e+261        1.96e+263     ---       0.0000        0.0000       0            3           
   1         113                 1.82e+268        1.78e+270     ---       0.0000        0.0000       0            1           
   1         115                 2.19e+274        2.19e+276     ---       0.0000        0.0000       0            2           
   1         117                 3.57e+279        3.64e+281     ---       0.0000        0.0000       0            2           
   1         118                 1.95e+281        2.00e+283     ---       0.0000        0.0000       0            2           
   1         119                 7.86e+283        8.14e+285     ---       0.0000        0.0000       0            2           
   1         121                 2.34e+287        2.46e+289     ---       0.0000        0.0000       0            1           
   1         122                 3.81e+292        4.07e+294     ---       0.0000        0.0000       0            2           
   1         123                 2.08e+294        2.24e+296     ---       0.0000        0.0000       0            2           
   1         129                       inf              nan     ---       0.0000        0.0000       0            2           
   1         130                       inf              nan     ---       0.0000        0.0000       0            3           
   1         136                       inf              nan     ---       0.0000        0.0000       0            2           
   1         150                       inf              nan     ---       0.0000        0.0000       0            3           
   1         151                       inf              nan     ---       0.0000        0.0000       0            1           
   1         152                       inf              nan     ---       0.0000        0.0000       0            2           
   1         157                       inf              nan     ---       0.0000        0.0000       0            1           
   1         159                       inf              nan     ---       0.0000        0.0000       0            2           
   1         161                       inf              nan     ---       0.0000        0.0000       0            2           
   1         178                       inf              nan     ---       0.0000        0.0000       0            2           
   1         186                       inf              nan     ---       0.0000        0.0000       0            3           
   1         190                       inf              nan     ---       0.0000        0.0000       0            3           
   1         197                       inf              nan     ---       0.0000        0.0000       0            1           
   1         200                       inf              nan     ---       0.0000        0.0000       0            2           
   1         206                       inf              nan     ---       0.0000        0.0000       0            2           
   1         207                       inf              nan     ---       0.0000        0.0000       0            2           
   1         216                       inf              nan     ---       0.0000        0.0000       0            2           
   1         233                       inf              nan     ---       0.0000        0.0000       0            1           
   1         238                       inf              nan     ---       0.0000        0.0000       0            3           
   1         241                       inf              nan     ---       0.0000        0.0000       0            1           
   1         243                       inf              nan     ---       0.0000        0.0000       0            1           
   1         244                       inf              nan     ---       0.0000        0.0000       0            2           
   1         248                       inf              nan     ---       0.0000        0.0000       0            2           
   1         253                       inf              nan     ---       0.0000        0.0000       0            2           
   1         256                       inf              nan     ---       0.0000        0.0000       0            1           
