m,n,p_m,p_n,k,Div,LaRue,Base,Modulator,Drain,Λ Ratio,Nearest Zero,Resonance,λ_P(k),λ_P(m*n),Normalized_Div
1,1,2,2,1,0.99268127,10.7935,10.8731,0.0796,0.0,1.0,14.134725,-12.823734,0.693147,1.386294,0.4981636
1,2,2,3,1,0.96235865,15.6958,16.3097,0.1855,0.4284,0.63093,14.134725,-12.694902,0.693147,1.791759,0.49040916
1,3,2,5,1,0.94046419,25.5645,27.1828,0.6177,1.0006,0.430677,14.134725,-12.398486,0.693147,2.302585,0.48465939
1,4,2,7,1,0.90438057,34.4171,38.0559,1.9389,1.7,0.356207,14.134725,-12.11626,0.693147,2.639057,0.47489487
1,5,2,11,1,0.67297161,40.2452,59.8022,16.0177,3.5393,0.289065,14.134725,-11.711049,0.693147,3.091042,0.40226123
1,6,2,13,1,0.26206367,18.5214,70.6753,47.6964,4.4575,0.270238,14.134725,-11.803647,0.693147,3.258097,0.20764695
1,7,2,17,1,-3.18998301,-294.8233,92.4216,380.6692,6.5756,0.244651,14.134725,-8.239108,0.693147,3.526361,-0.76133555
1,8,2,19,1,-9.78260605,-1010.4914,103.2947,1106.2116,7.5745,0.235409,14.134725,-1.328175,0.693147,3.637586,-0.90725804
1,9,2,23,1,-68.41337829,-8554.4748,125.041,8669.6876,9.8281,0.221065,14.134725,57.939217,0.693147,3.828641,-0.98559356
1,10,2,29,1,-1163.32655501,-183410.4672,157.6603,183554.756,13.3716,0.205847,14.134725,1153.807323,0.693147,4.060443,-0.99914113
1,11,2,31,1,-3104.1479902,-523152.8426,168.5335,523306.9061,14.47,0.201849,14.134725,3094.947068,0.693147,4.127134,-0.99967795
1,12,2,37,1,-54575.88023349,-10978094.1398,201.1529,10978277.1962,18.0965,0.191959,14.134725,54567.634241,0.693147,4.304065,-0.99998168
1,13,2,41,1,-378786.79786436,-84431240.0986,222.8991,84431442.5086,20.489,0.186652,14.134725,378779.188492,0.693147,4.406719,-0.99999736
1,14,2,43,1,-1018820.58888268,-238171968.4169,233.7722,238172180.568,21.6211,0.184289,14.134725,1018813.29782,0.693147,4.454347,-0.99999902
1,15,2,47,1,-7129174.0504953,-1821635801.698,255.5185,1821636033.1856,24.031,0.180031,14.134725,7129167.396052,0.693147,4.543295,-0.99999986
1,16,2,53,1,-131147212.9439322,-37788479094.6452,288.1379,37788479355.0548,27.7283,0.174583,14.134725,131147207.244419,0.693147,4.663439,-0.99999999
1,17,2,59,1,-2439106937.965478,-782361247922.5132,320.7573,782361248211.8508,31.4195,0.169992,14.134725,2439106933.220894,0.693147,4.770685,-1.0
1,18,2,61,1,-6598713792.802799,-2188333982889.7053,331.6304,2188333983188.7603,32.5754,0.168613,14.134725,6598713788.376526,0.693147,4.804021,-1.0
1,19,2,67,1,-123976199257.40125,-45158301446776.75,364.2498,45158301447104.73,36.2711,0.164851,14.134725,123976199253.9299,0.693147,4.89784,-1.0
1,20,2,71,1,-886914863572.2152,-342345607099479.1,385.996,342345607099826.44,38.6937,0.162608,14.134725,886914863569.3805,0.693147,4.955827,-1.0
1,21,2,73,1,-2402738754036.4087,-953572879670198.5,396.8691,953572879670555.5,39.8391,0.161555,14.134725,2402738754033.892,0.693147,4.983607,-1.0
1,22,2,79,1,-45644395606565.01,-1.9603744321434804e+16,429.4885,1.9603744321435188e+16,43.5272,0.158635,14.134725,45644395606563.445,0.693147,5.062595,-1.0
1,23,2,83,1,-328229794709720.6,-1.481087003620339e+17,451.2348,1.481087003620343e+17,45.9365,0.156862,14.134725,328229794709719.7,0.693147,5.111988,-1.0
1,24,2,89,1,-6280456839652564.0,-3.038825202893502e+18,483.8542,3.0388252028935025e+18,49.6014,0.154423,14.134725,6280456839652564.0,0.693147,5.181784,-1.0
1,25,2,97,1,-3.211085126007755e+17,-1.6933550634464287e+20,527.3467,1.6933550634464287e+20,54.4888,0.151517,14.134725,3.211085126007755e+17,0.693147,5.267858,-1.0
1,26,2,101,1,-2.3238485074628506e+18,-1.2760087843254438e+21,549.0929,1.2760087843254438e+21,56.8767,0.15019,14.134725,2.3238485074628506e+18,0.693147,5.308268,-1.0
1,27,2,103,1,-6.312213095498149e+18,-3.53462507589989e+21,559.9661,3.53462507589989e+21,58.0172,0.149555,14.134725,6.312213095498149e+18,0.693147,5.327876,-1.0
1,28,2,107,1,-4.572157646544403e+19,-2.659680392154669e+22,581.7123,2.659680392154669e+22,60.3898,0.148336,14.134725,4.572157646544403e+19,0.693147,5.365976,-1.0
1,29,2,109,1,-1.2416321267003238e+20,-7.3577311838561785e+22,592.5854,7.3577311838561785e+22,61.5083,0.14775,14.134725,1.2416321267003238e+20,0.693147,5.384495,-1.0
1,30,2,113,2,-9.001017123821474e+20,-5.5296100904851705e+23,614.3317,5.5296100904851705e+23,63.866,0.146624,21.02204,9.001017123821474e+20,0.693147,5.420535,-1.0
1,31,2,127,2,-8.927870935557357e+23,-6.1641912100621176e+26,690.4436,6.1641912100621176e+26,72.3432,0.143088,21.02204,8.927870935557357e+23,0.693147,5.537334,-1.0
1,32,2,131,2,-6.497756534673591e+24,-4.62763618065601e+27,712.1898,4.62763618065601e+27,74.6754,0.142178,21.02204,6.497756534673591e+24,0.693147,5.568345,-1.0
1,33,2,137,2,-1.2673004516972423e+26,-9.438970621987556e+28,744.8092,9.438970621987556e+28,78.197,0.140884,21.02204,1.2673004516972423e+26,0.693147,5.613128,-1.0
1,34,2,139,2,-3.4463733794993107e+26,-2.604363528578674e+29,755.6823,2.604363528578674e+29,79.3112,0.14047,21.02204,3.4463733794993107e+26,0.693147,5.627621,-1.0
1,35,2,149,3,-4.841253590223472e+28,-3.9216477150574395e+31,810.048,3.9216477150574395e+31,85.1809,0.13852,25.010858,4.841253590223472e+28,0.693147,5.697093,-1.0
1,36,2,151,3,-1.3169790405008583e+29,-1.0811358986649834e+32,820.9211,1.0811358986649834e+32,86.2897,0.138152,25.010858,1.3169790405008583e+29,0.693147,5.710427,-1.0
1,37,2,157,3,-2.579224915948119e+30,-2.201472909246602e+33,853.5405,2.201472909246602e+33,89.7488,0.137087,25.010858,2.579224915948119e+30,0.693147,5.749393,-1.0
1,38,2,163,3,-5.0567984654425995e+31,-4.481131901486259e+34,886.1599,4.481131901486259e+34,93.188,0.136078,25.010858,5.0567984654425995e+31,0.693147,5.786897,-1.0
1,39,2,167,3,-3.6946750497889355e+32,-3.354418128667362e+35,907.9061,3.354418128667362e+35,95.4454,0.135433,25.010858,3.6946750497889355e+32,0.693147,5.811141,-1.0
1,40,2,173,3,-7.254838577249929e+33,-6.823360772037985e+36,940.5255,6.823360772037985e+36,98.8529,0.134506,25.010858,7.254838577249929e+33,0.693147,5.846439,-1.0
1,41,2,179,4,-1.4258249310284277e+35,-1.3875342522070839e+38,973.1449,1.3875342522070839e+38,102.2406,0.133622,30.424876,1.4258249310284277e+35,0.693147,5.880533,-1.0
1,42,2,181,4,-3.8794294566015215e+35,-3.817428499994056e+38,984.018,3.817428499994056e+38,103.3144,0.133336,30.424876,3.8794294566015215e+35,0.693147,5.891644,-1.0
1,43,2,191,4,-5.5207115804970665e+37,-5.732616688321721e+40,1038.3837,5.732616688321721e+40,108.9571,0.131971,30.424876,5.5207115804970665e+37,0.693147,5.945421,-1.0
1,44,2,193,4,-1.5023036050211031e+38,-1.5763022518779484e+41,1049.2568,1.5763022518779484e+41,110.0226,0.13171,30.424876,1.5023036050211031e+38,0.693147,5.955837,-1.0
1,45,2,197,4,-1.0998100266567877e+39,-1.1778998824259724e+42,1071.003,1.1778998824259724e+42,112.2148,0.131198,30.424876,1.0998100266567877e+39,0.693147,5.976351,-1.0
1,46,2,199,4,-2.9922506177551464e+39,-3.2372446312147884e+42,1081.8762,3.2372446312147884e+42,113.2615,0.130948,30.424876,2.9922506177551464e+39,0.693147,5.986452,-1.0
1,47,2,211,5,-1.1508149390973237e+42,-1.3201170001580672e+45,1147.1149,1.3201170001580672e+45,119.9385,0.129515,32.935062,1.1508149390973237e+42,0.693147,6.045005,-1.0
